TimeStep Hunter1_X Hunter1_Y Hunter2_X Hunter2_Y Hunter3_X Hunter3_Y
0 1.7834936490538904 1.625 2.21650635094611 1.625 2.0 1.25
1 1.793452267374415 1.6240911991917528 2.20669048854379 1.6269101991783828 2.0096237529069185 1.2527172376867384
2 1.8133641954767892 1.6222171913832426 2.1871158919971996 1.631003764923662 2.028685873374343 1.2587385955266654
3 1.8233248701575586 1.6213312161853537 2.177266638886612 1.632733564125374 2.039729700423777 1.2707354838494211
4 1.833288522276599 1.62047937954776 2.167401150029581 1.6343682281440124 2.0607122452929616 1.2816269859904423
5 1.8432818556460926 1.6201143098878674 2.1574733836319857 1.6355680046835914 2.0717286970466375 1.2933412826387212
6 1.8532814670610616 1.6200261948542902 2.147521964434963 1.636552507407032 2.0853577635716647 1.3093754729488865
7 1.8632791497069785 1.6202414556610165 2.1375696548935585 1.637527976243291 2.0891759148798883 1.3234742195345461
8 1.8732605416584203 1.6208512174634961 2.127614913668912 1.6384783103130758 2.1028999362606555 1.3389418069273233
9 1.8831550281751344 1.6223000521276845 2.117673478249889 1.639558978495188 2.106636087410152 1.3549017713521607
10 1.8927358126524279 1.6251651114289416 2.1077435316261464 1.6407405701465905 2.112555595114827 1.3629615123500116
11 1.901048766288478 1.6307234196428908 2.0979695098218136 1.6428544542286545 2.117866935674101 1.371434389904607
12 1.904275985739697 1.6401883578364505 2.0941114129242115 1.6462987074628472 2.1225414159707725 1.3802745950524695
13 1.9034672370902637 1.650155600204016 2.0921814977633395 1.6502581629902124 2.129021054832265 1.3989505202625878
14 1.9020865151682311 1.6600598218356026 2.0909583778562584 1.6548542454838753 2.132866472005844 1.408181595907081
15 1.9010439578700253 1.6700053271342767 2.0895473624555954 1.6594342226162553 2.136131017934531 1.4176337246899493
16 1.9004239366762714 1.6799860867176903 2.0881958068790474 1.6638784045353532 2.1387911564670503 1.4272734171827324
17 1.9006127202586878 1.689456261738087 2.0849589140130766 1.6686988677829504 2.1408999427221715 1.4370485398103483
18 1.8929120544047702 1.695835895880009 2.082347971431408 1.6740759001113474 2.1426260184962302 1.4468984457780607
19 1.8970259744377482 1.7039137697283877 2.0793801194964536 1.6791151869110763 2.1439014317002147 1.4568167778779753
20 1.8894266313576746 1.7104137675341917 2.0840069444826432 1.6857532360590994 2.1448079731781036 1.466775602020789
21 1.896277073741113 1.7174961776909186 2.075389333812017 1.6893909426871687 2.1452920988667756 1.4767638764460571
22 1.889035109400903 1.7243921147164656 2.0787618209584244 1.696204649982974 2.1454642018361483 1.4867623944883235
23 1.8990010553674448 1.7252166945690988 2.075357576876376 1.7015210709068924 2.145248674438335 1.4967600706149824
24 1.891031577222203 1.7312571759539424 2.0753786732771906 1.707939711632207 2.1447201722185127 1.5067460949649103
25 1.8831651638896811 1.737431277448195 2.071331522087893 1.7135197778698057 2.1438420584308915 1.5167074662749656
26 1.8852428991516728 1.745586697870749 2.0668200926253113 1.719093467341736 2.1426377298193984 1.5266346803982742
27 1.87855129197069 1.753017874827492 2.0666674117625 1.7257410760503262 2.1411767894751392 1.5365273871575482
28 1.8884955828247267 1.754071948627825 2.0638030316282303 1.7318441818933934 2.141362122594728 1.5465256695752032
29 1.8804227772337991 1.759973626161809 2.064762396092737 1.7389276919420809 2.141780598278274 1.5565169102628715
30 1.8724871405569512 1.7660584981058491 2.055979809078598 1.7437095490749925 2.1418878890326596 1.566516334482003
