TimeStep Hunter1_X Hunter1_Y Hunter2_X Hunter2_Y Hunter3_X Hunter3_Y
98 1.6881 0.8041 1.6696 0.9520 1.5259 0.7199
99 1.6843 0.7948 1.6697 0.9443 1.5192 0.7138
100 1.6942 0.7968 1.6717 0.9368 1.5197 0.7050
101 1.6886 0.7885 1.6682 0.9294 1.5206 0.6991
102 1.6984 0.7904 1.6708 0.9242 1.5287 0.6965
103 1.6932 0.7818 1.6691 0.9184 1.5259 0.6921
104 1.6912 0.7720 1.6726 0.9139 1.5311 0.6848
105 1.7010 0.7740 1.6733 0.9075 1.5262 0.6813
106 1.6956 0.7656 1.6711 0.9013 1.5258 0.6753
107 1.6933 0.7558 1.6744 0.8966 1.5339 0.6723
108 1.6902 0.7463 1.6758 0.8901 1.5258 0.6670
109 1.7000 0.7484 1.6765 0.8825 1.5213 0.6594
110 1.6946 0.7399 1.6742 0.8761 1.5260 0.6519
111 1.7045 0.7418 1.6779 0.8714 1.5354 0.6493
112 1.6993 0.7332 1.6764 0.8659 1.5319 0.6461
113 1.7091 0.7351 1.6803 0.8618 1.5365 0.6394
114 1.7040 0.7265 1.6788 0.8566 1.5367 0.6362
115 1.7020 0.7167 1.6828 0.8527 1.5411 0.6304
116 1.7118 0.7187 1.6834 0.8467 1.5349 0.6281
117 1.7065 0.7103 1.6819 0.8410 1.5357 0.6223
118 1.7044 0.7005 1.6859 0.8368 1.5444 0.6196
119 1.7142 0.7025 1.6873 0.8306 1.5352 0.6156
120 1.7088 0.6941 1.6854 0.8246 1.5369 0.6085
121 1.7186 0.6960 1.6894 0.8206 1.5464 0.6056
122 1.7133 0.6874 1.6886 0.8154 1.5427 0.6018
123 1.7232 0.6894 1.6930 0.8116 1.5505 0.5987
124 1.7180 0.6808 1.6924 0.8067 1.5463 0.5942
125 1.7161 0.6710 1.6970 0.8031 1.5548 0.5906
126 1.7131 0.6615 1.6986 0.7972 1.5459 0.5862
127 1.7230 0.6632 1.6988 0.7901 1.5425 0.5791
128 1.7329 0.6647 1.7013 0.7867 1.5522 0.5770
129 1.7428 0.6662 1.7062 0.7846 1.5621 0.5753
130 1.7406 0.6564 1.7128 0.7828 1.5719 0.5734
131 1.7504 0.6584 1.7158 0.7789 1.5694 0.5692
132 1.7448 0.6501 1.7156 0.7741 1.5702 0.5639
133 1.7423 0.6405 1.7205 0.7708 1.5794 0.5617
134 1.7520 0.6426 1.7228 0.7653 1.5701 0.5579
135 1.7465 0.6343 1.7217 0.7596 1.5729 0.5511
136 1.7563 0.6361 1.7264 0.7564 1.5827 0.5489
137 1.7508 0.6277 1.7260 0.7513 1.5780 0.5459
138 1.7607 0.6296 1.7309 0.7483 1.5869 0.5429
139 1.7553 0.6212 1.7260 0.7396 1.5812 0.5400
