TimeStep Obstacle1_X Obstacle1_Y Obstacle2_X Obstacle2_Y Obstacle3_X Obstacle3_Y
98 1.5930 1.8930 2.1000 1.8800 0.5070 1.4070
99 1.6000 1.9000 2.1000 1.8900 0.5000 1.4000
100 1.6071 1.9071 2.1000 1.9000 0.4929 1.3929
101 1.6142 1.9142 2.1000 1.9100 0.4858 1.3858
102 1.6212 1.9212 2.1000 1.9200 0.4788 1.3788
103 1.6283 1.9283 2.1000 1.9300 0.4717 1.3717
104 1.6354 1.9354 2.1000 1.9400 0.4646 1.3646
105 1.6425 1.9425 2.1000 1.9500 0.4575 1.3575
106 1.6495 1.9495 2.1000 1.9600 0.4505 1.3505
107 1.6566 1.9566 2.1000 1.9700 0.4434 1.3434
108 1.6637 1.9637 2.1000 1.9800 0.4363 1.3363
109 1.6707 1.9707 2.1000 1.9900 0.4293 1.3293
110 1.6778 1.9778 2.1000 2.0000 0.4222 1.3222
111 1.6849 1.9849 2.1000 2.0100 0.4151 1.3151
112 1.6920 1.9920 2.1000 2.0200 0.4080 1.3080
113 1.6990 1.9990 2.1000 2.0300 0.4010 1.3010
114 1.7061 2.0061 2.1000 2.0400 0.3939 1.2939
115 1.7132 2.0132 2.1000 2.0500 0.3868 1.2868
116 1.7202 2.0202 2.1000 2.0600 0.3798 1.2798
117 1.7273 2.0273 2.1000 2.0700 0.3727 1.2727
118 1.7344 2.0344 2.1000 2.0800 0.3656 1.2656
119 1.7415 2.0415 2.1000 2.0900 0.3585 1.2585
120 1.7485 2.0485 2.1000 2.1000 0.3515 1.2515
121 1.7556 2.0556 2.1000 2.1100 0.3444 1.2444
122 1.7627 2.0627 2.1000 2.1200 0.3373 1.2373
123 1.7697 2.0697 2.1000 2.1300 0.3303 1.2303
124 1.7768 2.0768 2.1000 2.1400 0.3232 1.2232
125 1.7839 2.0839 2.1000 2.1500 0.3161 1.2161
126 1.7910 2.0910 2.1000 2.1600 0.3090 1.2090
127 1.7980 2.0980 2.1000 2.1700 0.3020 1.2020
128 1.8051 2.1051 2.1000 2.1800 0.2949 1.1949
129 1.8122 2.1122 2.1000 2.1900 0.2878 1.1878
130 1.8192 2.1192 2.1000 2.2000 0.2808 1.1808
131 1.8263 2.1263 2.1000 2.2100 0.2737 1.1737
132 1.8334 2.1334 2.1000 2.2200 0.2666 1.1666
133 1.8405 2.1405 2.1000 2.2300 0.2595 1.1595
134 1.8475 2.1475 2.1000 2.2400 0.2525 1.1525
135 1.8546 2.1546 2.1000 2.2500 0.2454 1.1454
136 1.8617 2.1617 2.1000 2.2600 0.2383 1.1383
137 1.8687 2.1687 2.1000 2.2700 0.2313 1.1313
138 1.8758 2.1758 2.1000 2.2800 0.2242 1.1242
139 1.8829 2.1829 2.1000 2.2900 0.2200 1.1171
140 1.8899 2.1899 2.1000 2.3000 0.2271 1.1101
141 1.8970 2.1970 2.1000 2.3100 0.2341 1.1030
142 1.9041 2.2041 2.1000 2.3200 0.2412 1.0959
143 1.9112 2.2112 2.1000 2.3300 0.2483 1.0888
144 1.9182 2.2182 2.1000 2.3400 0.2554 1.0818
145 1.9253 2.2253 2.1000 2.3500 0.2624 1.0747
146 1.9324 2.2324 2.1000 2.3600 0.2695 1.0676
147 1.9394 2.2394 2.1000 2.3700 0.2766 1.0606
148 1.9465 2.2465 2.1000 2.3800 0.2836 1.0535
149 1.9536 2.2536 2.1000 2.3900 0.2907 1.0464
150 1.9607 2.2607 2.1000 2.4000 0.2978 1.0393
151 1.9677 2.2677 2.1000 2.4100 0.3049 1.0323
152 1.9748 2.2748 2.1000 2.4200 0.3119 1.0252
153 1.9819 2.2819 2.1000 2.4300 0.3190 1.0181
154 1.9889 2.2889 2.1000 2.4400 0.3261 1.0111
155 1.9960 2.2960 2.1000 2.4500 0.3331 1.0040
156 2.0031 2.3031 2.1000 2.4600 0.3402 0.9969
157 2.0102 2.3102 2.1000 2.4700 0.3473 0.9898
158 2.0172 2.3172 2.1000 2.4800 0.3544 0.9828
159 2.0243 2.3243 2.1000 2.4900 0.3614 0.9757
160 2.0314 2.3314 2.1000 2.5000 0.3685 0.9686
161 2.0384 2.3384 2.1000 2.5100 0.3756 0.9616
162 2.0455 2.3455 2.1000 2.5200 0.3826 0.9545
163 2.0526 2.3526 2.1000 2.5300 0.3897 0.9474
164 2.0597 2.3597 2.1000 2.5400 0.3968 0.9403
165 2.0667 2.3667 2.1000 2.5500 0.4038 0.9333
166 2.0738 2.3738 2.1000 2.5600 0.4109 0.9262
167 2.0809 2.3809 2.1000 2.5700 0.4180 0.9191
168 2.0879 2.3879 2.1000 2.5800 0.4251 0.9121
169 2.0950 2.3950 2.1000 2.5900 0.4321 0.9050
170 2.1021 2.4021 2.1000 2.6000 0.4392 0.8979
171 2.1092 2.4092 2.1000 2.6100 0.4463 0.8908
172 2.1162 2.4162 2.1000 2.6200 0.4533 0.8838
173 2.1233 2.4233 2.1000 2.6300 0.4604 0.8767
174 2.1304 2.4304 2.1000 2.6400 0.4675 0.8696
175 2.1374 2.4374 2.1000 2.6500 0.4746 0.8626
176 2.1445 2.4445 2.1000 2.6600 0.4816 0.8555
177 2.1516 2.4516 2.1000 2.6700 0.4887 0.8484
178 2.1587 2.4587 2.1000 2.6800 0.4958 0.8413
179 2.1657 2.4657 2.1000 2.6900 0.5028 0.8343
180 2.1728 2.4728 2.1000 2.7000 0.5099 0.8272
181 2.1799 2.4799 2.1000 2.7100 0.5170 0.8201
182 2.1869 2.4869 2.1000 2.7200 0.5241 0.8131
183 2.1940 2.4940 2.1000 2.7300 0.5311 0.8060
184 2.2011 2.5011 2.1000 2.7400 0.5382 0.7989
185 2.2081 2.5081 2.1000 2.7500 0.5453 0.7919
186 2.2152 2.5152 2.1000 2.7600 0.5523 0.7848
187 2.2223 2.5223 2.1000 2.7700 0.5594 0.7777
188 2.2294 2.5294 2.1000 2.7800 0.5665 0.7706
189 2.2364 2.5364 2.1000 2.7900 0.5736 0.7636
